colony,date,ant_id,x,y,file_name,ant_type
N2,8/14/12,1,599.861702,251.351064,1777,1
N2,8/14/12,1,599.861702,284.542553,1480,1
N2,8/14/12,1,621.56383,307.521277,1459,1
N2,8/14/12,1,639.43617,310.074468,1297,1
N2,8/14/12,2,747.946809,241.138298,1918,1
N2,8/14/12,2,760.712766,278.159574,1904,1
N2,8/14/12,2,730.074468,303.691489,1837,1
N2,8/14/12,2,717.308511,298.585106,1830,1
N2,8/14/12,3,593.478723,276.882979,2912,1
N2,8/14/12,3,638.159574,324.117021,2865,1
N2,8/14/12,3,653.478723,322.840426,2857,1
N2,8/14/12,3,656.031915,319.010638,2849,1
N2,8/14/12,4,592.202128,306.244681,4831,1
N2,8/14/12,4,647.095745,347.095745,4780,1
N2,8/14/12,4,661.138298,333.053191,4776,1
N2,8/14/12,4,641.989362,311.351064,4775,1
N2,8/14/12,4,656.031915,316.457447,4768,1
N2,8/14/12,5,786.244681,325.393617,5091,1
N2,8/14/12,5,763.265957,289.648936,5074,1
N2,8/14/12,5,761.989362,352.202128,5025,1
N2,8/14/12,5,718.585106,324.117021,4976,1
N2,8/14/12,5,712.202128,303.691489,4879,1
N2,8/14/12,5,726.244681,315.180851,4784,1
N2,8/14/12,5,661.138298,331.776596,4684,1
N2,8/14/12,5,673.904255,325.393617,4678,1
N2,8/14/12,6,574.329787,350.925532,6794,1
N2,8/14/12,6,675.180851,377.734043,6692,1
N2,8/14/12,6,593.478723,339.43617,6763,1
N2,8/14/12,6,659.861702,334.329787,6640,1
N2,8/14/12,6,653.478723,324.117021,6635,1
N2,8/14/12,7,467.095745,313.904255,7374,1
N2,8/14/12,7,487.521277,335.606383,7365,1
N2,8/14/12,7,644.542553,320.287234,7076,1
N2,8/14/12,7,658.585106,317.734043,7071,1
N2,8/14/12,8,537.308511,347.095745,7517,1
N2,8/14/12,8,544.968085,335.606383,7511,1
N2,8/14/12,8,610.074468,412.202128,7460,1
N2,8/14/12,8,639.43617,367.521277,7382,1
N2,8/14/12,8,672.62766,329.223404,7274,1
N2,8/14/12,9,593.478723,316.457447,7881,1
N2,8/14/12,9,611.351064,326.670213,7871,1
N2,8/14/12,9,594.755319,370.074468,7848,1
N2,8/14/12,9,588.37234,377.734043,7838,1
N2,8/14/12,9,664.968085,329.223404,7797,1
N2,8/14/12,9,654.755319,319.010638,7792,1
N2,8/14/12,10,599.861702,285.819149,8743,1
N2,8/14/12,10,606.244681,319.010638,8674,1
N2,8/14/12,10,644.542553,336.882979,8574,1
N2,8/14/12,10,641.989362,311.351064,8529,1
N2,8/14/12,10,656.031915,322.840426,8514,1
